"order_priority","ship_mode","total_shipping_cost_for_priority","number_of_orders_for_priority_ship_mode"
"Critical","Delivery Truck","10783.82","228"
"Critical","Regular Air","8586.76","1180"
"Critical","Express Air","1742.10","200"
"High","Delivery Truck","11206.88","248"
"High","Regular Air","10005.01","1308"
"High","Express Air","1453.53","212"
"Low","Delivery Truck","11131.61","250"
"Low","Regular Air","10263.62","1280"
"Low","Express Air","1551.63","190"
"Medium","Delivery Truck","9461.62","205"
"Medium","Regular Air","9418.72","1225"
"Medium","Express Air","1633.59","201"
"Not Specified","Regular Air","9734.08","1277"
"Not Specified","Delivery Truck","9388.01","215"
"Not Specified","Express Air","1470.06","180"
